Path,Date,Commit Count
refs/tags/3.3.3,2016-09-02,93
refs/tags/2.9.0-RC1,2016-09-05,2
refs/tags/2.8.7,2016-09-09,7
refs/tags/2.8.8,2016-09-14,7
refs/tags/2.8.9,2016-09-18,6
refs/tags/2.9.0,2016-09-18,4
refs/tags/3.3.4,2016-09-24,31
refs/tags/3.3.5,2016-09-29,22
refs/tags/2.9.1,2016-10-10,16
refs/tags/3.3.6,2016-10-14,15
refs/tags/3.3.7,2016-10-28,32
refs/tags/3.3.8,2016-11-06,38
refs/tags/2.9.2,2016-11-07,1
refs/tags/3.3.9,2016-11-21,47
refs/tags/3.0.19,2016-11-25,2
refs/tags/3.1.14,2016-11-25,2
refs/tags/2.9.3,2016-11-27,8
refs/tags/3.3.10,2016-12-11,40
refs/tags/2.9.4,2016-12-23,10
refs/tags/3.3.11,2016-12-27,6
refs/tags/3.4.0-beta1,2016-12-30,11
refs/tags/3.4.0-beta2,2016-12-31,17
refs/tags/3.4.0-beta3,2017-01-01,24
refs/tags/3.4.0-beta4,2017-01-07,68
refs/tags/3.3.12,2017-01-13,27
refs/tags/3.4.0-RC1,2017-01-14,5
refs/tags/3.4.0-RC2,2017-01-17,45
refs/tags/3.4.0-RC3,2017-01-22,37
refs/tags/2.9.5,2017-01-23,1
refs/tags/3.3.13,2017-01-28,26
refs/tags/3.4.0-RC4,2017-02-04,77
refs/tags/3.3.14,2017-02-05,1
refs/tags/3.3.15,2017-02-12,24
refs/tags/3.4.0,2017-02-12,11
refs/tags/3.4.1,2017-02-17,62
refs/tags/3.4.2,2017-02-22,44
refs/tags/2.9.6,2017-02-28,3
refs/tags/3.4.3,2017-03-09,70
refs/tags/3.4.4,2017-03-28,50
refs/tags/2.9.7,2017-04-01,3
refs/tags/3.4.5,2017-04-06,11
refs/tags/3.3.16,2017-04-06,2
refs/tags/2.9.8,2017-04-21,13
refs/tags/3.4.6,2017-05-02,15
refs/tags/3.4.7,2017-05-19,41
refs/tags/2.9.9,2017-05-25,1
refs/tags/3.4.8,2017-06-19,93
refs/tags/3.4.9,2017-06-25,39
refs/tags/2.10.0-RC1,2017-06-26,5
refs/tags/3.4.10,2017-07-09,35
refs/tags/3.4.11,2017-07-18,24
refs/tags/2.10.0,2017-07-22,5
refs/tags/3.5.0-RC1,2017-07-26,13
refs/tags/3.4.12,2017-08-01,11
refs/tags/2.10.1,2017-08-07,7
refs/tags/3.5.0-RC2,2017-08-11,16
refs/tags/3.4.13,2017-08-16,28
refs/tags/3.5.0,2017-08-18,18
refs/tags/3.5.1,2017-08-28,83
refs/tags/2.10.2,2017-08-29,1
refs/tags/3.5.2,2017-09-11,47
refs/tags/2.10.3,2017-09-17,3
refs/tags/3.5.3,2017-09-26,39
refs/tags/3.5.4,2017-10-15,63
refs/tags/2.10.4,2017-10-18,4
refs/tags/3.5.5,2017-11-01,27
refs/tags/3.5.6,2017-11-17,32
refs/tags/2.10.5,2017-11-20,1
refs/tags/3.5.7,2017-12-05,59
refs/tags/3.5.8,2017-12-11,20
refs/tags/2.10.6,2017-12-18,6
refs/tags/3.5.9,2017-12-26,11
refs/tags/3.5.10,2017-12-28,7
refs/tags/2.10.7,2018-01-20,19
refs/tags/3.5.11,2018-01-20,2
refs/tags/3.5.12,2018-02-10,35
refs/tags/2.10.8,2018-02-24,3
refs/tags/3.5.13,2018-03-03,21
refs/tags/3.6.0-beta1,2018-03-04,7
refs/tags/3.6.0-beta2,2018-03-11,38
refs/tags/3.6.0-beta3,2018-03-17,23
refs/tags/3.5.14,2018-03-19,9
refs/tags/2.10.9,2018-03-24,1
refs/tags/3.6.0-RC1,2018-03-24,1
refs/tags/3.6.0-RC2,2018-04-01,40
refs/tags/3.5.15,2018-04-14,15
refs/tags/3.6.0,2018-04-14,3
refs/tags/3.6.1,2018-04-19,37
refs/tags/3.6.2,2018-04-27,60
refs/tags/3.5.16,2018-04-27,2
refs/tags/2.10.10,2018-05-11,1
refs/tags/3.6.3,2018-05-13,6
refs/tags/3.6.4,2018-05-20,16
refs/tags/3.4.14,2018-05-20,2
refs/tags/3.5.17,2018-05-20,2
refs/tags/3.6.5,2018-06-09,60
refs/tags/3.6.6,2018-06-24,53
refs/tags/2.10.11,2018-07-01,4
refs/tags/3.6.7,2018-07-08,19
refs/tags/3.6.8,2018-07-23,17
refs/tags/3.6.9,2018-07-25,7
refs/tags/3.6.10,2018-08-04,14
refs/tags/3.6.11,2018-09-02,74
refs/tags/2.10.12,2018-09-03,1
refs/tags/3.6.12,2018-10-01,50
refs/tags/3.7.0-beta1,2018-10-10,22
refs/tags/3.7.0-RC1,2018-10-24,25
refs/tags/2.10.13,2018-10-27,4
refs/tags/3.6.13,2018-11-04,11
refs/tags/3.7.0-RC2,2018-11-16,28
refs/tags/3.7.0-RC3,2018-11-25,32
refs/tags/3.6.14,2018-12-06,12
refs/tags/3.7.0,2018-12-08,4
refs/tags/3.7.1,2018-12-17,34
refs/tags/2.10.14,2018-12-19,1
refs/tags/3.7.2,2019-01-03,40
refs/tags/3.7.3,2019-01-21,46
refs/tags/2.10.15,2019-01-25,1
refs/tags/3.7.4,2019-02-09,14
refs/tags/2.10.16,2019-02-28,8
refs/tags/3.7.5,2019-03-13,14
refs/tags/3.8.0-beta1,2019-03-30,40
refs/tags/3.7.6,2019-04-09,21
refs/tags/4.0.0-alpha1,2019-04-11,20
refs/tags/2.10.17,2019-04-13,1
refs/tags/3.7.7,2019-04-23,20
refs/tags/3.6.15,2019-04-23,2
refs/tags/3.5.18,2019-04-23,2
refs/tags/3.8.0-RC1,2019-04-29,26
refs/tags/2.10.18,2019-05-13,3
refs/tags/3.8.0-RC2,2019-05-18,10
refs/tags/3.7.8,2019-05-29,15
refs/tags/4.0.0-alpha2,2019-05-31,20
refs/tags/3.8.0-RC3,2019-06-12,22
refs/tags/3.7.9,2019-06-19,11
refs/tags/3.8.0,2019-06-26,20
refs/tags/4.0.0-beta1,2019-06-29,16
refs/tags/3.8.1,2019-07-12,13
refs/tags/2.10.19,2019-07-24,1
refs/tags/3.8.2,2019-08-08,25
refs/tags/4.0.0-beta2,2019-08-15,64
refs/tags/3.8.3,2019-08-30,43
refs/tags/4.0.0-beta3,2019-09-06,106
refs/tags/3.8.4,2019-09-13,20
refs/tags/3.8.5,2019-10-06,37
refs/tags/4.0.0-beta4,2019-10-09,24
refs/tags/3.8.6,2019-11-07,48
refs/tags/4.0.0-RC1,2019-11-15,87
refs/tags/4.0.0-RC2,2019-12-01,160
refs/tags/3.8.7,2019-12-07,7
refs/tags/4.0.0,2019-12-15,88
refs/tags/3.8.8,2019-12-28,19
refs/tags/4.0.1,2019-12-29,25
refs/tags/4.0.2,2020-01-11,86
refs/tags/2.10.20,2020-01-16,1
refs/tags/3.8.9,2020-01-24,5
refs/tags/4.0.3,2020-01-25,3
refs/tags/3.8.10,2020-02-21,16
refs/tags/4.0.4,2020-02-21,2
refs/tags/4.0.5,2020-03-28,68
refs/tags/3.8.11,2020-04-05,1
refs/tags/4.0.6,2020-04-18,29
refs/tags/4.0.7,2020-05-01,40
refs/tags/3.8.12,2020-05-07,3
