Release,Date,Author Count,Commit Count
CakePHP 2.9.2 Released,2016-11-08T02:40:22+00:00,0,0
CakePHP 3.3.9 released,2016-11-22T02:16:38+00:00,0,0
CakePHP 2.9.3 Released,2016-11-28T02:25:11+00:00,0,0
CakePHP 3.3.10 released,2016-12-12T03:46:25+00:00,0,0
CakePHP 2.9.4 Released,2016-12-23T18:27:15+00:00,0,0
CakePHP 3.3.11 released,2016-12-27T21:17:03+00:00,0,0
CakePHP 3.4.0-beta1 released,2016-12-31T04:26:58+00:00,0,0
CakePHP 3.4.0-beta2 Released,2017-01-01T04:20:59+00:00,0,0
CakePHP 3.4.0-beta3 Released,2017-01-02T03:52:59+00:00,0,0
CakePHP 3.4.0-beta4 released,2017-01-08T03:07:01+00:00,0,0
CakePHP 3.3.12 released,2017-01-14T02:44:01+00:00,0,0
CakePHP 3.4.0-RC1 released,2017-01-14T18:27:49+00:00,0,0
CakePHP 3.4.0-RC2 released,2017-01-18T02:28:18+00:00,0,0
CakePHP 3.4.0-RC3 released,2017-01-23T02:12:10+00:00,0,0
CakePHP 2.9.5 Released,2017-01-24T01:47:14+00:00,0,0
CakePHP 3.3.13 released,2017-01-29T03:15:39+00:00,0,0
CakePHP 3.4.0-RC4 released,2017-02-05T02:42:43+00:00,0,0
CakePHP 3.3.14 released,2017-02-06T03:22:10+00:00,0,0
CakePHP 3.3.15 released,2017-02-13T02:36:02+00:00,0,0
CakePHP 3.4.0 released,2017-02-13T03:19:04+00:00,0,0
CakePHP 3.4.1 released,2017-02-18T03:18:31+00:00,0,0
CakePHP 3.4.2 released,2017-02-23T03:23:11+00:00,0,0
CakePHP 2.9.6 released,2017-03-01T03:27:17+00:00,0,0
CakePHP 3.4.3 released,2017-03-10T04:23:39+00:00,0,0
CakePHP 3.4.4 released,2017-03-29T01:23:27+00:00,0,0
CakePHP 2.9.7 Released,2017-04-02T02:09:17+00:00,0,0
CakePHP 3.4.5 released,2017-04-07T01:46:40+00:00,0,0
